s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
8,9,82376,291.77,1537,0.017066,0.24502,same,0.040157,0.01648,0.037028,0.038902,0.043726,0.046731,0.067734,,1.2322,0.84808,0.86803,1.4604,1.521,powerlaw,5.962,0.092966,3.9324,1.7922e-05,0.11828,13.859,0.00010444,0.34155,2.6831,0.00014376,0.00011051,0.025505,powerlaw,3.6436,exponential,3.7775,0.32348,0.23405,0.23344,7.7886e-05,3.0798e-06,1.0376e-06,4.7954e-07
9,10,81427,308.4,1544.7,0.0059401,0.11326,same,0.041324,0.012864,0.030335,0.030958,0.02872,0.025859,0.040433,,1.2403,0.77771,0.94277,1.1761,1.3439,exponential,13.862,0.064881,3.2775,1.7922e-05,0.073793,7.7713,0.00011051,0.2772,2.5544,8.258e-05,1.7922e-05,0.025505,powerlaw,3.0899,exponential,3.6061,0.2763,0.21073,0.21723,5.5326e-05,1.5152e-06,4.4931e-07,1.896e-07
10,11,80977,277.77,1557.1,0.024813,0.10871,same,0.040274,0.031476,0.034135,0.0148,0.020076,0.026473,0.041391,,1.293,0.23811,1.2334,2.0957,1.3977,powerlaw,7.3337,0.061695,1.8219,0.00019376,0.068089,4.0051,0.010842,0.22205,2.4441,9.1635e-05,0.00092114,0.025505,powerlaw,1.7862,exponential,2.8868,0.21186,0.19462,0.24075,5.2431e-05,2.7645e-06,1.0262e-06,5.0801e-07
11,12,79758,283.03,1577.7,0.014802,0.11844,same,0.036079,0.016732,0.025893,0.021472,0.023157,0.025353,0.041953,,1.2825,0.74962,0.88361,1.1953,1.6441,powerlaw,21.408,0.055568,2.9691,1.0833e-05,0.066581,8.8481,0.0014157,0.28186,2.5637,6.3123e-05,6.4138e-05,0.025505,powerlaw,2.5098,exponential,3.7629,0.26357,0.20983,0.23006,3.5143e-05,1.6044e-06,5.6737e-07,2.7137e-07
12,13,79476,285.31,1590.3,0.0087559,0.07618,same,0.040301,0.0082263,0.024083,0.020725,0.016437,0.024364,0.030207,,1.2433,0.83647,1.1615,0.88696,1.707,powerlaw,14.562,0.048219,2.817,1.7922e-05,0.054553,6.5545,0.0079975,0.24469,2.4894,4.9893e-05,0.0079975,0.025505,powerlaw,2.6118,exponential,2.8473,0.24531,0.1921,0.2312,2.8253e-05,1.4107e-06,5.1412e-07,2.5122e-07
13,14,80836,421.76,1594,0.0052883,0.11267,same,0.054093,0.011246,0.028672,0.020515,0.021796,0.024489,0.036847,,1.4835,0.89835,0.95619,1.4651,1.4443,powerlaw,32.654,0.054373,2.3188,0.00019376,0.061812,5.6621,0.00019376,0.24233,2.4847,6.709e-05,0.00092114,0.025505,powerlaw,2.2872,powerlaw,2.8249,0.24367,0.19099,0.16294,3.8033e-05,1.9098e-06,6.9735e-07,3.4121e-07
14,15,81363,315.79,1596.8,0.0081848,0.15942,same,0.060531,0.01032,0.033251,0.033592,0.028517,0.026073,0.047266,,0.91045,0.82783,1.7826,2.6742,1.316,powerlaw,9.7856,0.07037,2.8559,3.0497e-05,0.079487,6.539,0.00017209,0.25062,2.5012,0.00010589,0.00017737,0.025505,powerlaw,2.4906,exponential,2.0666,0.22519,0.1316,0.21829,5.9802e-05,2.9436e-06,1.0676e-06,5.1991e-07
15,16,60351,360.48,1595.4,0.013345,0.24571,same,0.047896,0,0.040617,0.046245,0.042266,0.040881,0.067125,,1.5,0.89358,0.92855,1.9894,1.8952,powerlaw,10.059,0.096741,3.2275,3.0497e-05,0.11391,8.7556,0.00083963,0.2876,2.5752,0.00018491,0.0036341,0.025505,powerlaw,3.2723,exponential,3.1536,0.29746,0.18651,0.14142,0.00010268,4.6234e-06,1.6274e-06,7.7579e-07
16,17,65637,388.82,1590.2,0.017347,0.29006,same,0.060324,0.0094526,0.037585,0.040899,0.035317,0.047824,0.08577,,,0.86025,1.1544,3.4984,2.4971,powerlaw,24.487,0.095661,3.5687,3.0497e-05,0.12957,15.346,3.0497e-05,0.33072,2.6614,0.00016546,0.0036341,0.025505,powerlaw,4.0731,powerlaw,2.4651,0.35985,0.15365,0.14113,9.0086e-05,3.6564e-06,1.2428e-06,5.7794e-07
17,18,62127,363.11,1585.2,0.01013,0.2179,same,0.042254,0,0.023557,0.026196,0.026157,0.030946,0.061497,,2.8317,0.94942,0.9646,1.2601,1.8286,powerlaw,31.279,0.069131,2.8657,0.0008723,0.087509,10.349,3.0497e-05,0.27831,2.5566,0.00010214,0.0012041,0.025505,powerlaw,2.6467,powerlaw,2.5567,0.26111,0.16717,0.14315,5.6958e-05,2.6227e-06,9.3016e-07,4.458e-07
